emoji_id,emoji_name,asset_path,animation_path,has_static_asset,has_animation_asset,category
462,unnamed_462,assets/qq_emoji/462/png/462.png,assets/qq_emoji/462/apng/462.png,Yes,Yes,qqnt
463,unnamed_463,assets/qq_emoji/463/png/463.png,assets/qq_emoji/463/apng/463.png,Yes,Yes,qqnt
464,unnamed_464,assets/qq_emoji/464/png/464.png,assets/qq_emoji/464/apng/464.png,Yes,Yes,qqnt
465,unnamed_465,assets/qq_emoji/465/png/465.png,assets/qq_emoji/465/apng/465.png,Yes,Yes,qqnt
466,unnamed_466,assets/qq_emoji/466/png/466.png,assets/qq_emoji/466/apng/466.png,Yes,Yes,qqnt
467,unnamed_467,assets/qq_emoji/467/png/467.png,assets/qq_emoji/467/apng/467.png,Yes,Yes,qqnt
468,unnamed_468,assets/qq_emoji/468/png/468.png,assets/qq_emoji/468/apng/468.png,Yes,Yes,qqnt
469,unnamed_469,assets/qq_emoji/469/png/469.png,assets/qq_emoji/469/apng/469.png,Yes,Yes,qqnt
470,unnamed_470,assets/qq_emoji/470/png/470.png,assets/qq_emoji/470/apng/470.png,Yes,Yes,qqnt
〽,股票,,,No,No,qqnt
☀,晴天,assets/qq_emoji/☀/png/☀.png,,Yes,No,qqnt
☁,云朵,,,No,No,qqnt
☎,电话,,,No,No,qqnt
☔,雨天,,,No,No,qqnt
☕,咖啡,assets/qq_emoji/☕/png/☕.png,,Yes,No,qqnt
☝,向上,,,No,No,qqnt
☺,可爱,assets/qq_emoji/☺/png/☺.png,,Yes,No,qqnt
♣,扑克,,,No,No,qqnt
♨,热,,,No,No,qqnt
⚡,闪电,,,No,No,qqnt
⛄,雪人,,,No,No,qqnt
⛪,教堂,,,No,No,qqnt
⛵,船,,,No,No,qqnt
✈,飞机,,,No,No,qqnt
✌,胜利,,,No,No,qqnt
✨,闪光,assets/qq_emoji/✨/png/✨.png,,Yes,No,qqnt
❌,错误,,,No,No,qqnt
❔,问号,assets/qq_emoji/❔/png/❔.png,,Yes,No,qqnt
❕,叹号,,,No,No,qqnt
⭐,星星,,,No,No,qqnt
⭕,正确,,,No,No,qqnt
🀄,麻将,,,No,No,qqnt
🌂,雨伞,,,No,No,qqnt
🌙,月亮,,,No,No,qqnt
🌴,椰子树,,,No,No,qqnt
🌹,玫瑰,assets/qq_emoji/🌹/png/🌹.png,,Yes,No,qqnt
🍉,西瓜,assets/qq_emoji/🍉/png/🍉.png,,Yes,No,qqnt
🍊,橙子,,,No,No,qqnt
🍎,苹果,assets/qq_emoji/🍎/png/🍎.png,,Yes,No,qqnt
🍓,草莓,assets/qq_emoji/🍓/png/🍓.png,,Yes,No,qqnt
🍔,汉堡,,,No,No,qqnt
🍙,饭团,,,No,No,qqnt
🍚,米饭,,,No,No,qqnt
🍜,拉面,assets/qq_emoji/🍜/png/🍜.png,,Yes,No,qqnt
🍝,意面,,,No,No,qqnt
🍞,面包,assets/qq_emoji/🍞/png/🍞.png,,Yes,No,qqnt
🍟,薯条,,,No,No,qqnt
🍣,寿司,,,No,No,qqnt
🍧,刨冰,assets/qq_emoji/🍧/png/🍧.png,,Yes,No,qqnt
🍳,煎蛋,,,No,No,qqnt
🍸,高脚杯,,,No,No,qqnt
🍺,啤酒,assets/qq_emoji/🍺/png/🍺.png,,Yes,No,qqnt
🍻,干杯,assets/qq_emoji/🍻/png/🍻.png,,Yes,No,qqnt
🎀,蝴蝶结,,,No,No,qqnt
🎂,蛋糕,,,No,No,qqnt
🎄,圣诞树,,,No,No,qqnt
🎈,气球,,,No,No,qqnt
🎉,庆祝,assets/qq_emoji/🎉/png/🎉.png,,Yes,No,qqnt
🎤,话筒,,,No,No,qqnt
🎥,摄影机,,,No,No,qqnt
🎰,老虎机,,,No,No,qqnt
🎸,吉他,,,No,No,qqnt
🏆,奖杯,,,No,No,qqnt
🏠,家,,,No,No,qqnt
🏥,医院,,,No,No,qqnt
🏦,银行,,,No,No,qqnt
🏧,取款机,,,No,No,qqnt
🏨,酒店,,,No,No,qqnt
🏪,便利店,assets/qq_emoji/🏪/png/🏪.png,,Yes,No,qqnt
🐎,骑马,assets/qq_emoji/🐎/png/🐎.png,,Yes,No,qqnt
🐔,公鸡,assets/qq_emoji/🐔/png/🐔.png,,Yes,No,qqnt
🐙,章鱼,,,No,No,qqnt
🐚,海螺,,,No,No,qqnt
🐛,虫,assets/qq_emoji/🐛/png/🐛.png,,Yes,No,qqnt
🐠,鱼,,,No,No,qqnt
🐤,小鸡,,,No,No,qqnt
🐧,企鹅,,,No,No,qqnt
🐨,树懒,,,No,No,qqnt
🐭,老鼠,,,No,No,qqnt
🐮,牛,assets/qq_emoji/🐮/png/🐮.png,,Yes,No,qqnt
🐯,老虎,,,No,No,qqnt
🐳,鲸鱼,assets/qq_emoji/🐳/png/🐳.png,,Yes,No,qqnt
🐵,猴,assets/qq_emoji/🐵/png/🐵.png,,Yes,No,qqnt
🐶,狗,assets/qq_emoji/🐶/png/🐶.png,,Yes,No,qqnt
🐷,猪,assets/qq_emoji/🐷/png/🐷.png,,Yes,No,qqnt
